Class,Precision,Recall,F1 Score,Support
0,0.2,0.018867924528301886,0.034482758620689655,53
1,0.926944971537002,0.9959225280326198,0.9601965601965602,981
2,0.0,0.0,0.0,25
Accuracy,0.9235127478753541,,,
