Class,Precision,Recall,F1 Score,Support
0,0.6,0.05660377358490566,0.10344827586206896,53
1,0.9285714285714286,0.9938837920489296,0.9601181683899557,981
2,0.0,0.0,0.0,25
Accuracy,0.9235127478753541,,,
