Class,Precision,Recall,F1 Score,Support
0,0.12658227848101267,0.18867924528301888,0.15151515151515155,53
1,0.9383720930232559,0.8226299694189603,0.8766974470396524,981
2,0.10833333333333334,0.52,0.1793103448275862,25
Accuracy,0.7837582625118036,,,
