Class,Precision,Recall,F1 Score,Support
0,0.35714285714285715,0.09433962264150944,0.1492537313432836,53
1,0.9305019305019305,0.9826707441386341,0.9558750619732276,981
2,0.1111111111111111,0.04,0.058823529411764705,25
Accuracy,0.9159584513692163,,,
